group,naive_prob,actual_hit,cross_league,leagues
2021-W33,0.7685690278316128,True,True,BUNDESLIGA+EPL
2021-W43,0.6683299691716275,False,True,EPL+LALIGA
2021-W48,0.7026833082019598,True,True,EPL+SERIEA
2021-W50,0.6646407982461687,False,True,EPL+LALIGA
2022-W06,0.769758667864465,True,False,EPL
2022-W16,0.7221906532585829,False,True,EPL+LALIGA
2022-W16,0.7207050864262621,False,True,EPL+LALIGA
2022-W16,0.6638251629806988,False,False,LALIGA
2022-W34,0.6907290713445818,True,True,EPL+LALIGA
2022-W34,0.6851766338969643,False,True,BUNDESLIGA+EPL
2022-W34,0.648312422289356,False,True,BUNDESLIGA+LALIGA
2022-W35,0.7491432883560849,True,True,EPL+SERIEA
2022-W44,0.6749579611271513,True,True,EPL+LALIGA
2022-W45,0.6594732395349314,False,True,EPL+LALIGA
2022-W45,0.694238934302124,False,True,BUNDESLIGA+EPL
2022-W45,0.700527334452777,False,True,BUNDESLIGA+EPL
2022-W45,0.6771898368771174,True,True,BUNDESLIGA+LALIGA
2022-W45,0.6833238066990772,True,True,BUNDESLIGA+LALIGA
2022-W45,0.7193468406399379,True,False,BUNDESLIGA
2023-W15,0.6595992204077628,False,True,BUNDESLIGA+EPL
2023-W34,0.7122422871577377,True,True,BUNDESLIGA+EPL
2023-W35,0.6614095081596164,False,True,BUNDESLIGA+EPL
2023-W38,0.7537558205167315,True,True,BUNDESLIGA+EPL
2023-W38,0.6932267434517976,True,True,BUNDESLIGA+EPL
2023-W38,0.6959906064898903,True,False,BUNDESLIGA
2023-W43,0.7777854268810319,True,True,BUNDESLIGA+EPL
2023-W49,0.6627371217843492,True,False,EPL
2024-W05,0.7189104926290563,True,True,BUNDESLIGA+EPL
2024-W06,0.6817306482275547,True,False,EPL
2024-W06,0.6691267146245278,False,True,EPL+LALIGA
2024-W06,0.6615616130250824,False,True,EPL+LALIGA
2024-W10,0.6783594419410164,True,True,BUNDESLIGA+EPL
2024-W14,0.7614716911280168,True,False,EPL
2024-W15,0.7244432224716689,False,True,EPL+SERIEA
2024-W15,0.7284440576433502,True,True,BUNDESLIGA+EPL
2024-W15,0.6503242144420885,False,True,BUNDESLIGA+SERIEA
2024-W18,0.694860434696392,True,False,EPL
2024-W20,0.6808604017979303,True,False,EPL
2024-W20,0.6603982305650666,True,True,EPL+LALIGA
2024-W20,0.6913375282628527,True,True,BUNDESLIGA+EPL
2024-W20,0.6992815252219179,True,True,EPL+LALIGA
2024-W20,0.7320424841131775,True,True,BUNDESLIGA+EPL
2024-W20,0.7100421171949377,True,True,BUNDESLIGA+LALIGA
2024-W34,0.7722496000835144,True,True,EPL+LALIGA
2024-W40,0.7282819606458664,False,True,BUNDESLIGA+EPL
2024-W43,0.7109011652672356,True,True,BUNDESLIGA+EPL
2024-W52,0.6950759838646975,True,False,EPL
2025-W10,0.7262826515430054,False,True,BUNDESLIGA+EPL
2025-W19,0.674806502103914,False,True,BUNDESLIGA+EPL
2025-W39,0.6817563153527876,True,True,BUNDESLIGA+EPL
2025-W48,0.6627631981564969,True,True,BUNDESLIGA+EPL
2025-W50,0.6493872819103877,False,True,BUNDESLIGA+EPL
2023-W17,0.6815180325778175,False,True,LALIGA+SERIEA
2023-W17,0.7385365661467121,True,True,BUNDESLIGA+LALIGA
2023-W17,0.7268739539332647,False,True,BUNDESLIGA+SERIEA
2023-W48,0.6644988813239168,True,True,BUNDESLIGA+LALIGA
2024-W03,0.7351236345787759,False,True,BUNDESLIGA+LALIGA
2024-W39,0.6547444981288978,True,True,BUNDESLIGA+LALIGA
2024-W44,0.6860643816130688,True,True,LALIGA+SERIEA
2024-W44,0.6508931371536054,True,True,BUNDESLIGA+LALIGA
2024-W44,0.6876504404288429,True,True,BUNDESLIGA+SERIEA
2025-W03,0.6850144801339314,True,True,BUNDESLIGA+LALIGA
2025-W03,0.6577414494979559,True,True,BUNDESLIGA+LALIGA
2025-W03,0.6754940689436408,True,False,BUNDESLIGA
2025-W13,0.6583871109683818,True,True,BUNDESLIGA+LALIGA
2025-W13,0.709743267233685,True,True,BUNDESLIGA+LALIGA
2025-W13,0.7114112084658502,True,False,BUNDESLIGA
2021-W49,0.6534429965467267,True,True,BUNDESLIGA+SERIEA
2022-W03,0.6780872670387493,True,False,SERIEA
2023-W06,0.6648655363305431,True,True,BUNDESLIGA+SERIEA
2024-W49,0.7152725055825796,True,True,BUNDESLIGA+SERIEA
2024-W49,0.6967940523166741,True,True,BUNDESLIGA+SERIEA
2024-W49,0.6651993667081487,True,False,BUNDESLIGA
2025-W05,0.7345541694298842,True,False,BUNDESLIGA
