year,n_bets,roi,win_rate,interpretable
2018,15,0.47327965326155896,0.4666666666666667,True
2019,3,-1.0,0.0,False
2020,1,-1.0,0.0,False
2023,7,0.8756584072171641,1.0,False
2024,2,-1.0,0.0,False
2025,2,0.668160653819099,1.0,False
