Date,Tournament,Surface,Player1,Player2,side,odds,blend_prob,edge,won,stake,profit,bankroll_after,drawdown
2018-01-15,Australian Open,Hard,Bencic B.,Williams V.,Player1,2.06,0.5287101997923427,0.08914301157222604,True,8.409718072851502,8.914301157222592,1008.9143011572226,0.0
2018-01-22,Australian Open,Hard,Halep S.,Osaka N.,Player2,2.6,0.4188504192487238,0.08901109004668184,False,5.612785106855671,-5.612785106855671,1003.3015160503669,0.0055631931279176055
2018-01-30,Ladies Trophy,Hard,Bacsinszky T.,Rybakina E.,Player2,2.37,0.46497330321880137,0.1019867286285594,True,7.4688641934343725,10.232343945005091,1013.533859995372,0.0
2018-08-22,Connecticut Open,Hard,Goerges J.,Yastremska D.,Player2,2.78,0.39052754398139344,0.08566657226827368,False,4.8778635766087595,-4.8778635766087595,1008.6559964187633,0.004812728779116514
2018-09-11,Coupe Banque Nationale,Hard,Ahn K.,Govortsova O.,Player2,2.51,0.4317929386821552,0.08380027609220941,True,5.597725230593044,8.452565098195494,1017.1085615169587,0.0
2018-10-17,Kremlin Cup,Hard,Jabeur O.,Stephens S.,Player1,2.05,0.5274147456054414,0.08120022849115482,True,7.865661675760654,8.258944759548685,1025.3675062765074,0.0
2018-10-18,Kremlin Cup,Hard,Sevastova A.,Zvonareva V.,Player2,2.71,0.40789331929404316,0.10539089528685697,False,6.319555525411289,-6.319555525411289,1019.0479507510961,0.0061632102506933625
2018-10-19,Kremlin Cup,Hard,Jabeur O.,Sevastova A.,Player1,2.28,0.4762464659941844,0.08584194246674026,True,6.834144965564475,8.747705555922526,1027.7956563070186,0.0
2019-08-27,US Open,Hard,Linette M.,Sharma A.,Player2,2.8,0.4265346228987382,0.19429694411646703,False,11.094308622035125,-11.094308622035125,1016.7013476849835,0.010794274673137028
2020-01-09,Shenzhen Open,Hard,Bondarenko K.,Pliskova Kr.,Player1,2.26,0.484913028294089,0.09590344394464112,False,7.738504817948239,-7.738504817948239,1008.9628428670353,0.018323499738899098
2023-05-22,Internationaux de Strasbourg,Clay,Friedsam A.L.,Zhang S.,Player1,1.44,0.7574733630148569,0.09076164274139398,True,20.812528428099785,9.157512508363904,1018.1203553753992,0.009413642558467128
2023-05-23,Internationaux de Strasbourg,Clay,Navarro E.,Teichmann J.,Player1,1.99,0.5457758117158801,0.08609386531460128,True,8.853930984822599,8.765391674974373,1026.8857470503735,0.0008853017144618548
2023-05-24,Morocco Open,Clay,Bronzetti L.,Maria T.,Player1,1.85,0.5895096835073822,0.09059291448865703,True,10.944537961430035,9.302857267215531,1036.1886043175891,0.0
2023-05-25,Morocco Open,Clay,Bronzetti L.,Parks A.,Player1,1.68,0.6516944649890357,0.0948467011815799,True,14.45280454727482,9.827907092146877,1046.016511409736,0.0
2023-05-25,Internationaux de Strasbourg,Clay,Burel C.,Pera B.,Player1,2.81,0.3861405792017247,0.08505502755684646,True,4.9154123316503595,8.896896320287151,1054.9134077300232,0.0
2023-05-26,Morocco Open,Clay,Bronzetti L.,Stephens S.,Player1,2.88,0.3765002227185278,0.08432064142936002,True,4.731434850650402,8.895097519222755,1063.8085052492459,0.0
2023-05-26,Internationaux de Strasbourg,Clay,Blinkova A.,Davis L.,Player1,2.11,0.5123135149508035,0.08098151654619534,True,7.761155501786039,8.614882606982503,1072.4233878562284,0.0
2024-07-22,Prague Open,Clay,Samsonova L.,Wurth T.,Player2,1.74,0.6350873555708865,0.10505199869334247,False,15.224354099970597,-15.224354099970597,1057.1990337562577,0.014196216039640969
2024-07-22,Iasi Open,Clay,Benoit M.,Bondar A.,Player1,2.31,0.4723152487098219,0.09104822451968864,False,7.347793510491423,-7.347793510491423,1049.8512402457663,0.021047794990357017
2025-06-07,French Open,Clay,Gauff C.,Sabalenka A.,Player1,1.42,0.7781484291966279,0.10497076945921147,True,26.238974406263253,11.020369250630564,1060.871609496397,0.010771658367991523
