tour,min_edge_threshold,kelly_fraction,max_odds,n_bets,roi,final_bankroll,max_drawdown,win_rate
ATP,0.01,0.05,2.5,341,0.06217242781006973,1029.7156324767864,0.013158178502607993,0.6480938416422287
ATP,0.01,0.05,3.0,372,0.04816613614009139,1023.8864986008423,0.012916134222002466,0.6236559139784946
ATP,0.01,0.05,4.0,395,0.052973949187930344,1026.7869111319803,0.014824760395034546,0.6050632911392405
ATP,0.01,0.05,6.0,399,0.05532594917061765,1028.0680098192165,0.014824760395034546,0.6040100250626567
ATP,0.01,0.1,2.5,341,0.061541039878925806,1059.7940226091282,0.02618446295751106,0.6480938416422287
ATP,0.01,0.1,3.0,372,0.04760513677771931,1047.8085128834769,0.02570758798731347,0.6236559139784946
ATP,0.01,0.1,4.0,395,0.05253281400902564,1053.7329594995867,0.029473330487592174,0.6050632911392405
ATP,0.01,0.1,6.0,399,0.05488702345976195,1056.361522752004,0.029473330487592174,0.6040100250626567
ATP,0.01,0.15,2.5,341,0.06090568972409861,1090.2138580543485,0.03907972381243052,0.6480938416422287
ATP,0.01,0.15,3.0,372,0.04704130439881677,1071.7402245861142,0.038375102614813215,0.6236559139784946
ATP,0.01,0.15,4.0,395,0.05208641292819274,1080.8115121816707,0.04394725116263341,0.6050632911392405
ATP,0.01,0.15,6.0,399,0.054442723711216376,1084.8543318997195,0.04394725116263341,0.6040100250626567
ATP,0.01,0.2,2.5,341,0.06026665397206456,1120.9524902116066,0.0518448299846012,0.6480938416422287
ATP,0.01,0.2,3.0,372,0.046474788252178025,1095.6550311111112,0.050919419405873016,0.6236559139784946
ATP,0.01,0.2,4.0,395,0.05163484468287323,1107.9948449900144,0.05824805595509096,0.6050632911392405
ATP,0.01,0.2,6.0,399,0.05399315461435568,1113.5189999571598,0.05824805595509096,0.6040100250626567
ATP,0.01,0.25,2.5,341,0.05962420065837705,1151.985931779498,0.06448064882410952,0.6480938416422287
ATP,0.01,0.25,3.0,372,0.045905732277219,1119.525578145032,0.06334127959843558,0.6236559139784946
ATP,0.01,0.25,4.0,395,0.0511782043436366,1135.2541676508552,0.07237727102130849,0.6050632911392405
ATP,0.01,0.25,6.0,399,0.05353841690930221,1142.3268779808113,0.07237727102130849,0.6040100250626567
ATP,0.02,0.05,2.5,77,0.01966119743044793,1002.8835614007617,0.010925398192201896,0.6103896103896104
ATP,0.02,0.05,3.0,90,-0.04254149180021177,993.3112116718304,0.013803793788951453,0.5333333333333333
ATP,0.02,0.05,4.0,98,-0.019090404451999447,996.8911861475826,0.014539125485952467,0.5204081632653061
ATP,0.02,0.05,6.0,100,-0.013870049752752644,997.7291942361387,0.014539125485952467,0.52
ATP,0.02,0.1,2.5,77,0.018780993025808563,1005.4955518463594,0.02176443796498643,0.6103896103896104
ATP,0.02,0.1,3.0,90,-0.04367309980027987,986.3802412836976,0.027611299556053154,0.5333333333333333
ATP,0.02,0.1,4.0,98,-0.020175106580680495,993.4867698933713,0.029067407820859786,0.5204081632653061
ATP,0.02,0.1,6.0,100,-0.014921939212038075,995.1559631877712,0.029067407820859786,0.52
ATP,0.02,0.15,2.5,77,0.017890099421499293,1007.8322635202506,0.03251755927353997,0.6103896103896104
ATP,0.02,0.15,3.0,90,-0.04481753191678429,979.2112723658267,0.04141830809825308,0.5333333333333333
ATP,0.02,0.15,4.0,98,-0.02127700930947583,989.7883713463808,0.04358034858708106,0.5204081632653061
ATP,0.02,0.15,6.0,100,-0.015991343529954804,992.2811978566244,0.04358034858708106,0.52
ATP,0.02,0.2,2.5,77,0.016988431002229305,1009.8901641334817,0.04318520099066132,0.6103896103896104
ATP,0.02,0.2,3.0,90,-0.0459749359456382,971.8086653206277,0.05522064256339229,0.5333333333333333
ATP,0.02,0.2,4.0,98,-0.022396323974433932,985.7978574100799,0.058073496355313406,0.5204081632653061
ATP,0.02,0.2,6.0,100,-0.01707848359026173,989.1060442555645,0.058073496355313406,0.52
ATP,0.02,0.25,2.5,77,0.016075899283071904,1011.665902621025,0.053767800906762545,0.6103896103896104
ATP,0.02,0.25,3.0,90,-0.04714546264289546,964.1769533692589,0.06901416049332283,0.5333333333333333
ATP,0.02,0.25,4.0,98,-0.02353326502857081,981.5173408325325,0.07254244884671732,0.5204081632653061
ATP,0.02,0.25,6.0,100,-0.018183583602482335,985.631903468667,0.07254244884671732,0.52
ATP,0.03,0.05,2.5,16,0.20513089787644037,1007.1504669248113,0.004400940059618565,0.6875
ATP,0.03,0.05,3.0,22,0.013415317073879735,1000.5537849948661,0.006663689727786163,0.5
ATP,0.03,0.05,4.0,26,0.14420187988495284,1006.4582389237986,0.006663689727786163,0.5384615384615384
ATP,0.03,0.05,6.0,27,0.13316693951095068,1006.0215576163929,0.006663689727786163,0.5185185185185185
ATP,0.03,0.1,2.5,16,0.20456405497691335,1014.2766992021177,0.0088018801192372,0.6875
ATP,0.03,0.1,3.0,22,0.01245403895419302,1001.0255051498428,0.013329590008376612,0.5
ATP,0.03,0.1,4.0,26,0.14376969629205305,1012.8595904428206,0.013329590008376612,0.5384615384615384
ATP,0.03,0.1,6.0,27,0.13266756819896794,1011.9806730013063,0.013329590008376612,0.5185185185185185
ATP,0.03,0.15,2.5,16,0.20399027466910247,1021.3773437699012,0.0132028201788558,0.6875
ATP,0.03,0.15,3.0,22,0.011485948461104178,1001.4149057266268,0.019997242701947016,0.5
ATP,0.03,0.15,4.0,26,0.1433287779316081,1019.2023676534584,0.019997242701947016,0.5384615384615384
ATP,0.03,0.15,6.0,27,0.13215965098578866,1017.8757354936567,0.019997242701947016,0.5185185185185185
ATP,0.03,0.2,2.5,16,0.20340953321915828,1028.4510374006725,0.017603760238474403,0.6875
ATP,0.03,0.2,3.0,22,0.010511003240505048,1001.7217481767509,0.026666191836394206,0.5
ATP,0.03,0.2,4.0,26,0.1428790455655761,1025.4848843381421,0.026666191836394206,0.5384615384615384
ATP,0.03,0.2,6.0,27,0.13164311537248763,1023.705138044858,0.026666191836394206,0.5185185185185185
ATP,0.03,0.25,2.5,16,0.20282180656223894,1035.4964069068603,0.022004700298093035,0.6875
ATP,0.03,0.25,3.0,22,0.009529160470725358,1001.9458102491578,0.03333598363494923,0.5
ATP,0.03,0.25,4.0,26,0.14242041945182962,1031.7054555081559,0.03333598363494923,0.5384615384615384
ATP,0.03,0.25,6.0,27,0.1311178883552892,1029.4672777589699,0.03333598363494923,0.5185185185185185
ATP,0.04,0.05,2.5,4,-0.12697863343787236,998.7093841766826,0.004400940059618618,0.5
ATP,0.04,0.05,3.0,6,-0.32324634810116215,995.7677545393439,0.007333408451353625,0.3333333333333333
ATP,0.04,0.05,4.0,8,0.031364590143859915,1000.4754083929665,0.006257156055444162,0.5
ATP,0.04,0.05,6.0,8,0.031364590143859915,1000.4754083929665,0.006257156055444162,0.5
