min_edge,kelly_fraction,max_odds,n_bets,final_bankroll_multiple,roi,win_rate,max_drawdown
0.12,0.1,3.0,539,0.5927885754094236,-0.06301051360647847,0.39517625231910947,0.4904596400733161
0.08,0.1,3.0,896,0.5611355058608231,-0.049174651982495196,0.41294642857142855,0.5493111784366381
0.02,0.1,3.0,1819,0.48179454958435464,-0.04042835384270924,0.43870258383727323,0.6276791823878874
0.05,0.1,3.0,1261,0.45986632535188354,-0.052363821988784615,0.41792228390166536,0.6076522453956013
0.12,0.1,5.0,1245,0.3327773394151281,-0.07116683539024542,0.3092369477911647,0.6756515987822602
0.08,0.1,5.0,1899,0.3264524032130619,-0.056000636745748913,0.3264876250658241,0.6788544590923798
0.02,0.1,5.0,3468,0.2587308412195851,-0.04736836213390709,0.3468858131487889,0.7452665621364757
0.05,0.1,5.0,2553,0.25164973421391224,-0.05723509248539162,0.3309831570701136,0.7524411239802076
0.12,0.1,sin_tope,1884,0.24396534395107777,-0.06912818671743652,0.2510615711252654,0.7665719137213172
0.08,0.1,sin_tope,2610,0.2322928447650896,-0.058708425288032794,0.2743295019157088,0.7730726689268428
0.12,0.25,3.0,539,0.23223054756472167,-0.06253587648186187,0.39517625231910947,0.8157571644453765
0.08,0.25,3.0,896,0.19032304002875186,-0.049329377933989324,0.41294642857142855,0.865807045294796
0.02,0.1,sin_tope,4180,0.17825898328269427,-0.051769410435649185,0.307177033492823,0.8259746136313665
0.05,0.1,sin_tope,3284,0.17211374949769098,-0.060945597181947794,0.2844092570036541,0.8329242224597192
0.02,0.25,3.0,1819,0.12492105710365896,-0.03497110693325855,0.43870258383727323,0.918936742923274
0.05,0.25,3.0,1261,0.11261681199143975,-0.04918828087962989,0.41792228390166536,0.9075889986604224
0.12,0.25,5.0,1245,0.044967949125906154,-0.0741918348442782,0.3092369477911647,0.9577777627171101
0.08,0.25,5.0,1899,0.03950360313302285,-0.061372047165847994,0.3264876250658241,0.9620636234143134
0.02,0.25,5.0,3468,0.02101487935103046,-0.0472530764032891,0.3468858131487889,0.9797774502966207
0.05,0.25,5.0,2553,0.01991245809677654,-0.06152355633628838,0.3309831570701136,0.9808775289038244
0.12,0.25,sin_tope,1884,0.015571694438900491,-0.07977131837344052,0.2510615711252654,0.9859453935052802
0.08,0.25,sin_tope,2610,0.01267355473389123,-0.07265278873874018,0.2743295019157088,0.9879547692848776
0.02,0.25,sin_tope,4180,0.006222267169930715,-0.06077513261101891,0.307177033492823,0.9940907042723416
0.05,0.25,sin_tope,3284,0.005787698837290815,-0.07578733991054733,0.2844092570036541,0.9945853245340704
