Date,bet_side,bet_odds,red_flag,won,market
2023-05-07,away,2.73,False,True,EPL
2023-05-08,away,2.62,False,False,EPL
2023-05-13,home,2.84,False,False,EPL
2023-05-21,home,2.51,False,True,EPL
2023-05-28,away,1.84,True,False,EPL
2023-05-28,home,2.89,True,False,EPL
2023-05-28,away,2.36,True,True,EPL
2023-08-12,away,2.71,False,False,EPL
2023-08-12,away,2.43,False,True,EPL
2023-09-02,away,2.53,False,False,EPL
2023-10-01,away,2.69,False,False,EPL
2023-10-07,home,2.26,False,False,EPL
2023-10-08,away,2.46,False,False,EPL
2023-10-29,home,2.18,False,False,EPL
2023-11-12,home,1.89,False,True,EPL
2023-11-26,away,2.6,False,True,EPL
2023-11-27,home,2.45,False,True,EPL
2023-12-06,home,2.3,False,False,EPL
2023-12-06,home,2.88,False,True,EPL
2023-12-17,home,2.12,False,True,EPL
2023-12-23,home,2.65,False,True,EPL
2023-12-23,home,1.8,False,True,EPL
2023-12-23,home,2.47,False,False,EPL
2023-12-26,home,2.68,False,True,EPL
2023-12-31,home,1.77,False,True,EPL
2024-01-21,away,1.72,False,True,EPL
2024-01-30,home,2.46,False,False,EPL
2024-02-01,home,2.45,True,False,EPL
2024-02-01,away,2.64,False,True,EPL
2024-02-03,away,2.34,False,False,EPL
2024-02-10,home,2.46,True,True,EPL
2024-03-10,home,1.81,False,True,EPL
2024-04-02,home,2.03,True,False,EPL
2024-04-06,away,2.77,False,True,EPL
2024-04-13,home,2.8,False,True,EPL
2024-04-13,away,2.79,False,False,EPL
2024-04-28,away,2.99,False,False,EPL
2024-05-05,home,2.75,False,True,EPL
2024-05-15,home,2.75,False,True,EPL
2024-05-19,home,2.97,False,False,EPL
2024-05-19,away,2.98,False,True,EPL
2024-09-21,home,2.54,False,False,EPL
2024-10-05,away,2.27,False,False,EPL
2024-10-27,home,2.54,False,False,EPL
2024-11-02,away,1.6,False,False,EPL
2024-11-09,home,2.59,False,True,EPL
2024-11-10,away,2.78,False,True,EPL
2024-11-10,away,2.59,False,False,EPL
2024-11-30,home,2.86,False,False,EPL
2024-12-03,away,2.39,False,True,EPL
2024-12-03,home,2.95,False,True,EPL
2024-12-14,away,2.76,False,False,EPL
2024-12-21,home,2.39,False,False,EPL
2024-12-21,home,2.8,False,False,EPL
2024-12-26,away,2.87,False,False,EPL
2024-12-29,home,2.37,False,False,EPL
2025-01-04,away,2.41,False,True,EPL
2025-01-25,home,2.03,True,True,EPL
2025-02-01,away,2.99,False,False,EPL
2025-02-15,home,2.23,False,True,EPL
2025-02-15,home,1.99,True,True,EPL
2025-02-16,home,2.46,False,True,EPL
2025-02-22,away,2.98,False,False,EPL
2025-02-23,home,2.95,False,False,EPL
2025-02-26,away,1.99,True,False,EPL
2025-02-26,away,2.07,False,True,EPL
2025-03-08,away,1.89,False,False,EPL
2025-03-09,home,2.73,True,False,EPL
2025-04-06,away,2.15,False,False,EPL
2025-04-19,home,2.59,False,False,EPL
2025-04-19,away,1.99,False,True,EPL
2025-04-21,home,2.52,True,False,EPL
2025-04-22,home,1.87,False,True,EPL
2025-05-02,home,1.41,False,True,EPL
2025-05-03,home,2.37,False,True,EPL
2025-05-03,home,2.07,False,False,EPL
2025-05-05,home,2.31,False,False,EPL
2025-05-10,away,2.78,False,True,EPL
2025-05-11,home,2.69,False,False,EPL
2025-05-18,home,2.84,False,False,EPL
2025-05-18,home,2.37,True,True,EPL
2025-05-18,home,2.03,False,True,EPL
2025-05-20,home,1.57,False,True,EPL
2025-05-25,away,2.22,False,True,EPL
