Date,bet_side,bet_odds,model_prob_side,market_prob_side,red_flag,won,market
2021-08-13,away,2.05,0.7421846584984358,0.4586632547115394,True,False,EPL
2021-08-14,away,2.47,0.6713089363797483,0.4424299192874036,True,False,EPL
2021-08-15,away,2.32,0.5568612791366251,0.4422306310328315,False,True,EPL
2021-08-21,home,2.65,0.4810667782530279,0.3649825650163597,False,False,EPL
2021-08-21,home,2.39,0.453073354515946,0.4545792276257364,False,False,EPL
2021-08-22,away,2.52,0.6010111904962199,0.3510403549106369,True,True,EPL
2021-08-28,home,2.02,0.6810619170483003,0.465852727966425,True,False,EPL
2021-08-28,away,1.93,0.7608702604588486,0.5116327700979351,False,True,EPL
2021-08-29,away,2.35,0.5693320322425294,0.4365136817721152,False,False,EPL
2021-09-11,away,1.96,0.6601120885887833,0.4589513571226696,True,False,EPL
2021-09-11,home,1.53,0.7390012402482363,0.6777099487380188,False,True,EPL
2021-09-11,away,2.72,0.56217205253343,0.3623355642741749,False,True,EPL
2021-09-11,away,2.54,0.6290371665720236,0.414658307951622,True,False,EPL
2021-09-17,away,2.36,0.5184899199736767,0.4381332746992903,False,False,EPL
2021-09-18,away,2.06,0.5793667569374361,0.4938355711356572,False,True,EPL
2021-09-19,away,2.77,0.471114863307856,0.3135313531353134,False,False,EPL
2021-09-25,away,2.83,0.5037799797798339,0.3598599444077583,False,True,EPL
2021-09-25,away,1.49,0.8143283608920627,0.680911018493134,False,False,EPL
2021-09-26,home,2.7,0.3677013688958339,0.4550754023571156,False,False,EPL
2021-10-02,home,1.78,0.7207246914389631,0.5486174927588493,False,True,EPL
2021-10-02,away,2.54,0.4678376546412359,0.4164677583495236,False,False,EPL
2021-10-03,away,2.41,0.6147898718397264,0.3624569460390356,True,False,EPL
2021-10-03,home,1.84,0.7526294028293827,0.5554868050614115,False,False,EPL
2021-10-03,away,2.46,0.5129094517808718,0.4106545308526301,False,False,EPL
2021-10-16,home,2.32,0.5109617497451657,0.4529318029119281,False,False,EPL
2021-10-16,away,2.16,0.5655392674721506,0.4982825528344434,False,False,EPL
2021-10-17,away,2.98,0.4614623629487808,0.3722290112952409,False,True,EPL
2021-10-17,away,2.13,0.5942173326593572,0.4633665577019016,False,True,EPL
2021-10-23,home,2.67,0.5350131854289475,0.3707796939519067,False,False,EPL
2021-10-24,away,2.79,0.7463876482761629,0.3834502082658572,True,True,EPL
2021-10-30,away,2.95,0.4003879329268608,0.339526778540957,False,True,EPL
2021-10-30,home,2.73,0.4464711921797319,0.35734576052575,False,True,EPL
2021-10-30,away,2.39,0.5111013457272038,0.4198514895247076,False,True,EPL
2021-10-31,away,2.11,0.7256819366646339,0.4700472284364901,True,True,EPL
2021-11-07,away,2.46,0.5074732912807021,0.4249270100928366,False,False,EPL
2021-11-20,home,2.67,0.5428866221820712,0.3899847397275759,False,False,EPL
2021-11-20,away,1.53,0.8091276485088656,0.6491552595881119,False,False,EPL
2021-11-20,away,2.49,0.560847331391727,0.3980695648251858,False,False,EPL
2021-11-28,home,1.65,0.7626669994485114,0.5765825202263968,False,True,EPL
2021-11-30,home,2.43,0.6030120343737875,0.4150831024418394,True,True,EPL
2021-12-01,away,2.98,0.6175074908336363,0.3232195501548867,True,False,EPL
2021-12-02,home,1.67,0.7845526780070913,0.576274254078944,False,True,EPL
2021-12-05,home,1.98,0.740697927978737,0.5334535167022159,False,False,EPL
2021-12-14,away,2.33,0.6765212329982504,0.4566117739867863,True,True,EPL
2021-12-28,away,2.08,0.6566017448045917,0.450549138790086,True,False,EPL
2021-12-28,away,2.24,0.73930008400297,0.4726648083193615,True,True,EPL
2022-01-01,away,1.62,0.8082718637169627,0.5999355512428192,False,True,EPL
2022-01-01,away,2.4,0.6062500764640792,0.4348434379496695,True,True,EPL
2022-01-02,away,2.46,0.6757921308075986,0.3636534702514218,True,False,EPL
2022-01-15,home,2.05,0.5681107495827021,0.5276796485241532,False,False,EPL
2022-01-19,away,1.88,0.8100046782037171,0.5529199655542851,False,True,EPL
2022-01-23,home,2.66,0.4824285418998428,0.360914908474809,False,False,EPL
2022-02-08,away,2.94,0.4266332046010124,0.3398574136872179,False,False,EPL
2022-02-10,away,2.23,0.5700630323785311,0.4751206041286672,False,True,EPL
2022-02-12,away,2.98,0.4860019078408709,0.3918280388054023,False,False,EPL
2022-02-12,away,2.14,0.5567334737507653,0.4877338877338877,False,True,EPL
2022-02-13,away,2.67,0.4981219765888338,0.36646722095056,False,False,EPL
2022-02-19,home,1.68,0.6923110038277005,0.6030663738972996,False,False,EPL
2022-02-27,home,2.15,0.5643534927656371,0.5032666017799322,False,True,EPL
2022-03-01,away,2.55,0.581653477091243,0.3722887110487528,False,True,EPL
2022-03-05,home,2.42,0.5406580525118683,0.4327492960586485,False,True,EPL
2022-03-06,away,1.62,0.7494041779338728,0.6304228351962775,False,True,EPL
2022-03-16,away,2.33,0.5298241338197175,0.4615065228692949,False,True,EPL
2022-03-20,home,2.25,0.7697819725097668,0.4589673235220754,True,True,EPL
2022-04-02,home,2.39,0.5601664360300369,0.3901934843724161,False,False,EPL
2022-04-02,away,2.63,0.5202854823741996,0.3735510378968147,False,False,EPL
2022-04-04,away,2.01,0.6121853521755718,0.4724322487469204,True,False,EPL
2022-04-09,away,2.63,0.7095135588683293,0.3805046106266131,True,True,EPL
2022-04-10,away,2.82,0.7437506936008418,0.3545759188711039,True,False,EPL
2022-04-10,home,2.46,0.6218715080007414,0.3868283413677619,True,True,EPL
2022-04-10,away,2.6,0.4430126683220646,0.4110576923076923,False,False,EPL
2022-04-16,away,1.97,0.613978495758602,0.5031792001561941,False,False,EPL
2022-04-23,away,2.22,0.57209685551261,0.4345419680990151,False,True,EPL
2022-04-23,away,1.88,0.7811581911254317,0.5575484613400528,False,False,EPL
2022-04-30,away,2.78,0.450600353144745,0.3350843643680544,False,True,EPL
2022-05-02,home,1.78,0.8108146275284895,0.5422535211267605,False,True,EPL
2022-05-07,away,2.52,0.5358057357424044,0.3883471948846893,False,True,EPL
2022-05-07,away,2.61,0.5369222819312661,0.3763014377788795,False,False,EPL
2022-05-08,home,2.71,0.4718292539835391,0.3573341700082647,False,False,EPL
2022-05-08,away,1.81,0.7445590735958738,0.5673321193940636,False,True,EPL
2022-05-11,away,1.88,0.6036788057002105,0.5804484492341094,False,False,EPL
2022-05-15,home,2.09,0.566323082968343,0.5196581785603529,False,False,EPL
2022-05-15,home,2.75,0.437595597850516,0.3582554517133956,False,False,EPL
2022-05-15,away,2.02,0.7660327220659622,0.582105078359392,False,True,EPL
2022-05-15,home,2.13,0.5989992877075703,0.5058222571057271,False,False,EPL
2022-05-22,away,2.85,0.6909208373239493,0.3383738225086762,True,True,EPL
2022-05-22,away,2.97,0.4665502836668884,0.3568566085263921,False,False,EPL
2022-05-22,away,2.24,0.6727423150909495,0.378224852071006,True,False,EPL
2022-05-22,home,1.88,0.6262711519705038,0.5710143635821777,False,True,EPL
2022-08-13,home,2.44,0.4551299191017621,0.4389916887123631,False,False,EPL
2022-08-14,away,1.92,0.6475409232968011,0.4915073922971634,True,False,EPL
2022-08-20,away,2.93,0.4758073301829899,0.3507552870090634,False,False,EPL
2022-08-20,home,1.86,0.6432154714025597,0.5492948717948718,False,False,EPL
2022-09-18,away,2.57,0.5289001743466587,0.3762970014278914,False,False,EPL
2022-10-01,away,2.25,0.5343738092387751,0.4290117887092081,False,False,EPL
2022-10-03,home,1.78,0.7085089563287974,0.5600380698041109,False,True,EPL
2022-10-08,away,2.09,0.6663849555437265,0.4404128261716213,True,False,EPL
