group,naive_prob,actual_hit,cross_league,leagues
2022-W45,0.7193468406399379,True,False,BUNDESLIGA
2023-W38,0.6959906064898903,True,False,BUNDESLIGA
2024-W49,0.6651993667081487,True,False,BUNDESLIGA
2025-W03,0.6754940689436408,True,False,BUNDESLIGA
2025-W05,0.7345541694298842,True,False,BUNDESLIGA
2025-W13,0.7114112084658502,True,False,BUNDESLIGA
