league_key,ceiling,n,win_rate,flat_roi,delta_vs_base
EPL,sin techo,256,0.421875,-0.033554687500000006,0.0
EPL,<=40%,249,0.41767068273092367,-0.050923694779116464,-0.017369007279116458
EPL,<=35%,243,0.4156378600823045,-0.056090534979423866,-0.02253584747942386
EPL,<=30%,236,0.4194915254237288,-0.04745762711864406,-0.013902939618644056
EPL,<=25%,224,0.41964285714285715,-0.04566964285714286,-0.012114955357142854
LALIGA,sin techo,254,0.468503937007874,0.07468503937007873,0.0
LALIGA,<=40%,254,0.468503937007874,0.07468503937007873,0.0
LALIGA,<=35%,253,0.47035573122529645,0.07893280632411066,0.004247766954031937
LALIGA,<=30%,251,0.4701195219123506,0.07892430278884462,0.00423926341876589
LALIGA,<=25%,234,0.47863247863247865,0.09337606837606835,0.018691029005989623
SERIEA,sin techo,241,0.4190871369294606,-0.04771784232365147,0.0
SERIEA,<=40%,241,0.4190871369294606,-0.04771784232365147,0.0
SERIEA,<=35%,239,0.4225941422594142,-0.03974895397489541,0.007968888348756059
SERIEA,<=30%,237,0.4219409282700422,-0.04430379746835446,0.003414044855297012
SERIEA,<=25%,231,0.42424242424242425,-0.03943722943722944,0.008280612886422033
BUNDESLIGA,sin techo,203,0.4187192118226601,-0.06438423645320196,0.0
BUNDESLIGA,<=40%,201,0.4228855721393035,-0.05507462686567163,0.009309609587530326
BUNDESLIGA,<=35%,200,0.425,-0.050349999999999985,0.014034236453201974
BUNDESLIGA,<=30%,196,0.42857142857142855,-0.043163265306122446,0.021220971147079513
BUNDESLIGA,<=25%,187,0.42780748663101603,-0.04385026737967914,0.02053396907352282
