market,predicted_prob,odds,actual
EPL,0.181558019121618,4.05,1
EPL,0.2222341632292711,3.46,0
EPL,0.5962078176491107,2.05,0
EPL,0.5394122857834049,1.56,1
EPL,0.227261059249555,4.57,0
EPL,0.23332665496704,5.96,0
EPL,0.2826689446373269,3.3,0
EPL,0.3128237182276506,3.12,0
EPL,0.4045073371350224,2.51,1
EPL,0.6857468765727305,1.26,1
EPL,0.1971589750024553,6.24,0
EPL,0.1170941484248143,12.74,0
EPL,0.4782567681577859,2.01,1
EPL,0.2658640473961505,3.56,0
EPL,0.2558791844460636,4.1,0
EPL,0.5686471974840097,1.73,1
EPL,0.2431426469400631,3.79,0
EPL,0.1882101555759271,5.47,0
EPL,0.213717635706691,3.18,1
EPL,0.2328309431935657,3.31,0
EPL,0.5534514210997432,2.47,0
EPL,0.1137558218419334,8.35,0
EPL,0.159545308667316,5.86,0
EPL,0.7266988694907505,1.36,1
EPL,0.2554997608110976,3.21,0
EPL,0.2466760132593222,3.59,0
EPL,0.49782422592958,2.32,1
EPL,0.1989519122925566,5.56,1
EPL,0.2251042844978189,4.09,0
EPL,0.5759438032096243,1.67,0
EPL,0.7195906898563318,1.21,1
EPL,0.1776107581662248,6.98,0
EPL,0.1027985519774433,15.68,0
EPL,0.5085300256779398,1.83,1
EPL,0.2493681165765052,3.99,0
EPL,0.2421018577455549,4.4,0
EPL,0.4212822874402536,2.65,0
EPL,0.2586203357675347,3.28,1
EPL,0.3200973767922118,2.95,0
EPL,0.4538491423288537,2.39,0
EPL,0.2635446553308277,3.51,1
EPL,0.2826062023403184,3.14,0
EPL,0.8851253257265358,1.11,1
EPL,0.080157112865282,11.28,0
EPL,0.0347175614081821,26.2,0
EPL,0.5487044789120666,1.75,1
EPL,0.2475202130491306,3.55,0
EPL,0.2037753080388026,5.8,0
EPL,0.1588601726393605,5.32,0
EPL,0.1975085801491649,4.41,1
EPL,0.6436312472114745,1.64,0
EPL,0.2543447615212082,3.25,0
EPL,0.2733874656707304,3.15,0
EPL,0.4722677728080613,2.52,1
EPL,0.270315474141343,4.9,0
EPL,0.2845700834001867,3.83,0
EPL,0.4451144424584702,1.79,1
EPL,0.3922811330260208,2.61,1
EPL,0.2547071833956587,3.51,0
EPL,0.3530116835783204,2.82,0
EPL,0.6343086858769688,1.26,1
EPL,0.2149945782016537,6.28,0
EPL,0.1506967359213775,12.59,0
EPL,0.5702489169225833,2.02,0
EPL,0.2321516732681915,3.63,1
EPL,0.1975994098092252,3.95,0
EPL,0.3748117936004967,2.37,0
EPL,0.3036620491474949,3.29,0
EPL,0.3215261572520083,3.37,1
EPL,0.4121589955136741,2.55,0
EPL,0.2531172537377991,3.52,1
EPL,0.3347237507485268,2.9,0
EPL,0.1681645760669798,4.47,0
EPL,0.1991347669653188,3.54,0
EPL,0.6327006569677013,1.93,1
EPL,0.6267236088763586,1.59,0
EPL,0.2197028607392708,4.07,1
EPL,0.1535735303843705,6.64,0
EPL,0.3842470721185897,2.52,0
EPL,0.2830952159711311,3.36,1
EPL,0.3326577119102792,3.06,0
EPL,0.2456235044999875,3.15,0
EPL,0.2534501923470919,3.58,1
EPL,0.5009263031529207,2.35,0
EPL,0.7316971661853573,1.45,1
EPL,0.163826601772617,4.42,0
EPL,0.1044762320420257,9.04,0
EPL,0.1746342280886201,5.14,0
EPL,0.2371753988263728,3.51,0
EPL,0.588190373085007,1.83,1
EPL,0.2015978788729254,4.42,1
EPL,0.2418878931670593,3.47,0
EPL,0.5565142279600152,1.96,0
EPL,0.7074772701647507,1.53,1
EPL,0.1752534477729975,4.57,0
EPL,0.1172692820622518,6.5,0
EPL,0.2673390704595307,2.93,0
EPL,0.273410384494626,3.19,0
EPL,0.4592505450458433,2.72,1
EPL,0.179230800203879,5.87,0
EPL,0.2163416746668878,4.26,0
EPL,0.6044275251292331,1.61,1
EPL,0.7281333742740599,1.19,1
EPL,0.1588267978728011,7.56,0
EPL,0.1130398278531388,16.42,0
EPL,0.2463472944164175,2.93,0
EPL,0.2350216152806511,3.48,1
EPL,0.5186310903029313,2.54,0
EPL,0.2783663897085138,3.47,0
EPL,0.2690998222928423,3.22,0
EPL,0.4525337879986438,2.36,1
EPL,0.5927799141687363,1.31,1
EPL,0.2279241698608805,5.51,0
EPL,0.1792959159703832,12.17,0
EPL,0.2356040656172686,4.54,0
EPL,0.2233663149107164,4.15,0
EPL,0.541029619472015,1.78,1
EPL,0.5119991672541411,1.74,1
EPL,0.2818869086123291,3.83,0
EPL,0.2061139241335297,5.35,0
EPL,0.2807204924647716,3.05,0
EPL,0.2421748372356617,3.69,1
EPL,0.4771046702995667,2.36,0
EPL,0.5124880997576033,1.93,0
EPL,0.2579510590493981,3.3,0
EPL,0.2295608411929985,4.98,1
EPL,0.2076382155439447,3.87,0
EPL,0.2570465443497462,3.57,0
EPL,0.5353152401063089,2.06,1
EPL,0.7270947690237841,1.22,1
EPL,0.1683458400493533,6.87,0
EPL,0.1045593909268625,15.6,0
EPL,0.820903661577018,1.16,0
EPL,0.1169260987768295,8.48,1
EPL,0.0621702396461524,19.72,0
EPL,0.4047558760201057,2.21,0
EPL,0.2427756364590329,3.48,0
EPL,0.3524684875208613,3.53,1
EPL,0.4354378373112932,2.42,1
EPL,0.2790740105033809,3.44,0
EPL,0.2854881521853259,3.15,0
EPL,0.3277552345846979,2.83,1
EPL,0.2822910973435665,3.25,0
EPL,0.3899536680717355,2.77,0
EPL,0.2728275473209716,4.69,0
EPL,0.2444224217597503,3.9,0
EPL,0.482750030919278,1.81,1
EPL,0.2891579631085098,4.98,0
EPL,0.277023380913351,4.02,0
