league_key,n_seasons,avg_std_ppg,avg_gini_ppg,n_distinct_champions,champion_concentration
LALIGA,7,0.5677398320587103,0.21963350884626648,4,0.4285714285714286
SERIEA,6,0.4976695225532648,0.20068460543629216,3,0.5
EPL,6,0.4783044005565491,0.18768749048626732,3,0.5
BUNDESLIGA,6,0.4676888440924245,0.18327499582572818,2,0.6666666666666667
MLS,15,0.3181703281575991,0.1270502166554425,12,0.19999999999999996
