odds_bucket,n_poblacion,predicted_poblacion,actual_poblacion,gap_poblacion,n_seleccion,predicted_seleccion,actual_seleccion,gap_seleccion,sesgo_seleccion
1.00-1.50,8109,0.7823078584877323,0.7849303243309903,0.0026224658432579817,494.0,0.7540268735503285,0.7105263157894737,-0.04350055776085482,-0.0461230236041128
1.50-2.00,6117,0.591037893328409,0.5842733366029099,-0.006764556725499027,706.0,0.6047197805993324,0.6104815864022662,0.005761805802933839,0.012526362528432866
2.00-2.50,1833,0.4512451928282905,0.4757228587015821,0.024477665873291587,267.0,0.4638620831297673,0.46441947565543074,0.0005573925256634471,-0.02392027334762814
2.50-3.00,662,0.370523121927698,0.34894259818731116,-0.021580523740386826,148.0,0.38136102352559287,0.35135135135135137,-0.030009672174241497,-0.008429148433854672
3.00-4.00,465,0.2985968607974966,0.2731182795698925,-0.025478581227604102,123.0,0.3066378989969772,0.2682926829268293,-0.0383452160701479,-0.0128666348425438
4.00-6.00,199,0.21666008448636762,0.18592964824120603,-0.030730436245161585,58.0,0.22346361690382976,0.2413793103448276,0.017915693440997832,0.04864612968615942
6.00+,51,0.13254380473615113,0.11764705882352941,-0.014896745912621717,,,,,
