odds_bucket,n_poblacion,predicted_poblacion,actual_poblacion,gap_poblacion,n_seleccion,predicted_seleccion,actual_seleccion,gap_seleccion,sesgo_seleccion
1.00-1.50,9177,0.7842112705933298,0.7875122589081399,0.0033009883148100716,89.0,0.7469678512911749,0.7528089887640449,0.005841137472869962,0.00254014915805989
1.50-2.00,6677,0.5902599119008703,0.5809495282312416,-0.009310383669628775,169.0,0.602092552101554,0.6686390532544378,0.06654650115288385,0.07585688482251263
2.00-2.50,1950,0.44873928155318443,0.47333333333333333,0.024594051780148896,81.0,0.45926073187062844,0.5061728395061729,0.04691210763554443,0.022318055855395535
2.50-3.00,623,0.36650032897974544,0.3611556982343499,-0.00534463074539554,32.0,0.3767856319962284,0.34375,-0.03303563199622839,-0.027691001250832847
3.00-4.00,343,0.2937842129996998,0.30029154518950435,0.006507332189804538,24.0,0.3020818502645695,0.2916666666666667,-0.010415183597902833,-0.01692251578770737
4.00-6.00,100,0.21324418270809337,0.23,0.016755817291906644,4.0,0.22822883157207036,0.5,0.27177116842792964,0.255015351136023
6.00+,30,0.12704460688028363,0.06666666666666667,-0.06037794021361696,,,,,
