Date,Tournament,Surface,Player1,Player2,side,odds,blend_prob,edge,won,stake,profit,bankroll_after,drawdown
2023-05-24,Lyon Open,Clay,Barrere G.,Paul T.,Player1,2.79,0.4008469114059715,0.11836288282266061,False,6.612451554338575,-6.612451554338575,993.3875484456614,0.006612451554338577
2023-05-25,Lyon Open,Clay,Baez S.,Norrie C.,Player1,2.8,0.416959436100367,0.16748642108102763,False,9.243273624201095,-9.243273624201095,984.1442748214604,0.015855725178539615
