league_key,temporada,n_partidos,pct_faltante,pct_en_cero,media_hst_ast,std_hst_ast
EPL,2021,380,0.0,0.0,8.628947368421052,3.0400499835094488
EPL,2122,380,0.0,0.0,8.821052631578947,3.142118161488875
EPL,2223,380,0.0,0.0,8.802631578947368,3.0880642502668016
EPL,2324,380,0.0,0.0,9.868421052631579,3.2582029836100177
EPL,2425,380,0.0,0.0,9.1,2.9917212066574845
EPL,2526,380,0.0,0.0,8.373684210526315,2.8539362449058845
LALIGA,2021,380,0.0,0.0,7.405263157894737,2.98350322394554
LALIGA,2122,380,0.0,0.0,7.955263157894737,3.1220720208945005
LALIGA,2223,380,0.0,0.0,8.392105263157895,3.0164790653924847
LALIGA,2324,380,0.0,0.0,8.618421052631579,3.3564300722884837
LALIGA,2425,380,0.0,0.002631578947368421,8.136842105263158,3.101146358187232
LALIGA,2526,380,0.0,0.0,8.671052631578947,3.004781404711264
LALIGA,2627,5,0.0,0.0,8.4,1.816590212458495
SERIEA,2021,380,0.0,0.0,10.592105263157896,3.5527596452715247
SERIEA,2122,380,0.0,0.0,8.886842105263158,3.2381850231468796
SERIEA,2223,380,0.0,0.0,8.178947368421053,2.817131711336338
SERIEA,2324,380,0.0,0.0,8.307894736842105,3.0892512246063966
SERIEA,2425,380,0.0,0.0,8.071052631578947,2.9234208370267956
SERIEA,2526,380,0.0,0.0,8.060526315789474,2.7802582854602367
BUNDESLIGA,2021,306,0.0,0.0032679738562091504,9.290849673202615,3.219364757156735
BUNDESLIGA,2122,306,0.0,0.0,9.493464052287582,3.4803838718487414
BUNDESLIGA,2223,306,0.0,0.0,9.57843137254902,3.416746437748197
BUNDESLIGA,2324,306,0.0,0.0,9.901960784313726,3.0766486043295003
BUNDESLIGA,2425,306,0.0032679738562091504,0.0,9.239344262295083,3.116978055773342
BUNDESLIGA,2526,306,0.0,0.0,9.542483660130719,3.219789073846298
