league_key,temporada,n_bets,pct_home,pct_draw,pct_away,avg_odds,median_odds,win_rate,flat_roi_per_bet,pct_top5_equipos,top5_equipos,es_temporada_reciente,pct_odds_1.0-1.5,pct_odds_1.5-2.0,pct_odds_2.0-2.5,pct_odds_2.5-3.0
EPL,2122,89,0.3258426966292135,0.0,0.6741573033707865,2.31561797752809,2.36,0.4606741573033708,0.04078651685393258,0.8089887640449438,"Brentford(20), Watford(15), Leicester(14), Leeds(12), Aston Villa(11)",False,0.011235955056179775,0.21348314606741572,0.42696629213483145,0.34831460674157305
EPL,2223,69,0.3188405797101449,0.0,0.6811594202898551,2.3833333333333333,2.46,0.3333333333333333,-0.23898550724637685,0.782608695652174,"Leicester(12), Tottenham(12), Nott'm Forest(11), Fulham(10), Bournemouth(9)",False,0.014492753623188406,0.21739130434782608,0.2898550724637681,0.4782608695652174
EPL,2324,34,0.6176470588235294,0.0,0.38235294117647056,2.458235294117647,2.465,0.5588235294117647,0.3514705882352941,1.0,"Bournemouth(8), Man United(8), West Ham(7), Everton(7), Nott'm Forest(4)",True,0.0,0.14705882352941177,0.38235294117647056,0.47058823529411764
EPL,2425,43,0.6046511627906976,0.0,0.3953488372093023,2.390697674418605,2.39,0.4418604651162791,-0.011395348837209291,1.0,"Nott'm Forest(12), Man City(11), Bournemouth(9), Tottenham(6), Arsenal(5)",True,0.023255813953488372,0.16279069767441862,0.37209302325581395,0.4418604651162791
EPL,2526,21,0.3333333333333333,0.0,0.6666666666666666,2.3866666666666667,2.51,0.2857142857142857,-0.3423809523809524,1.380952380952381,"Leeds(11), Sunderland(8), Newcastle(6), Bournemouth(2), Everton(2)",True,0.0,0.19047619047619047,0.2857142857142857,0.5238095238095238
LALIGA,2122,90,0.4666666666666667,0.0,0.5333333333333333,2.2733333333333334,2.29,0.4666666666666667,0.03266666666666664,0.8444444444444444,"Espanol(19), Vallecano(19), Barcelona(14), Ath Madrid(13), Mallorca(11)",False,0.044444444444444446,0.23333333333333334,0.35555555555555557,0.36666666666666664
LALIGA,2223,58,0.603448275862069,0.0,0.39655172413793105,2.3753448275862072,2.415,0.4827586206896552,0.10706896551724139,0.9137931034482759,"Mallorca(12), Betis(12), Villarreal(11), Sevilla(10), Girona(8)",False,0.0,0.1896551724137931,0.41379310344827586,0.39655172413793105
LALIGA,2324,51,0.6666666666666666,0.0,0.3333333333333333,2.447058823529412,2.53,0.45098039215686275,0.05999999999999998,0.9215686274509803,"Alaves(12), Villarreal(10), Betis(9), Mallorca(8), Girona(8)",True,0.0,0.1568627450980392,0.3333333333333333,0.5098039215686274
LALIGA,2425,40,0.75,0.0,0.25,2.3637499999999996,2.415,0.525,0.2415,1.05,"Girona(18), Alaves(7), Espanol(6), Vallecano(6), Getafe(5)",True,0.0,0.325,0.25,0.425
LALIGA,2526,15,0.7333333333333333,0.0,0.26666666666666666,2.472666666666667,2.5,0.3333333333333333,-0.19333333333333336,1.2666666666666666,"Girona(7), Elche(4), Valencia(3), Levante(3), Alaves(2)",True,0.0,0.06666666666666667,0.4,0.5333333333333333
