market,predicted_prob,market_prob,odds,actual
EPL,0.1110113755159791,0.2479575463288271,4.05,1
EPL,0.1466411096119086,0.2933791989596333,3.46,0
EPL,0.7421846584984358,0.4586632547115394,2.05,0
EPL,0.4900757783741215,0.5858648481091135,1.56,1
EPL,0.2212168431080683,0.2329510229386236,4.57,0
EPL,0.2887011827834448,0.1811841289522628,5.96,0
EPL,0.2652974878279546,0.2990260614867454,3.3,0
EPL,0.3143292148513965,0.3114061213572157,3.12,0
EPL,0.4203732721980001,0.3895678171560388,2.51,1
EPL,0.6388043684037537,0.7299449469130949,1.26,1
EPL,0.2141761227091639,0.1811344868265828,6.24,0
EPL,0.1470142012239746,0.0889205662603224,12.74,0
EPL,0.4799416354653557,0.4766697784944412,2.01,1
EPL,0.2474118101740701,0.2832385640329288,3.56,0
EPL,0.2726454371666775,0.24009165747263,4.1,0
EPL,0.5838594979647944,0.5543211893481457,1.73,1
EPL,0.2265333799351261,0.258781244894625,3.79,0
EPL,0.1896034502624649,0.1868975657572291,5.47,0
EPL,0.1584946774290515,0.2656984026155331,3.18,1
EPL,0.1701085371158864,0.2918716780970632,3.31,0
EPL,0.6713089363797483,0.4424299192874036,2.47,0
EPL,0.0861322479424269,0.139697950377562,8.35,0
EPL,0.116938205160213,0.1995685005393743,5.86,0
EPL,0.7962901994170987,0.6607335490830637,1.36,1
EPL,0.2268600662359316,0.2824652296481381,3.21,0
EPL,0.2162706280610382,0.2753041393190303,3.59,0
EPL,0.5568612791366251,0.4422306310328315,2.32,1
EPL,0.2365036130898095,0.1635916770866456,5.56,1
EPL,0.2201178487967511,0.2297981911075939,4.09,0
EPL,0.543372088235484,0.6066101318057605,1.67,0
EPL,0.6526611103533821,0.7826086956521741,1.21,1
EPL,0.2123198047623572,0.144927536231884,6.98,0
EPL,0.1350139164887363,0.072463768115942,15.68,0
EPL,0.4937924734119123,0.522406330879817,1.83,1
EPL,0.2433173436692741,0.2550652320483702,3.99,0
EPL,0.2628887010221075,0.2225284370718127,4.4,0
EPL,0.4810667782530279,0.3649825650163597,2.65,0
EPL,0.2086459890059049,0.3056728982012012,3.28,1
EPL,0.3102718655647972,0.329344536782439,2.95,0
EPL,0.453073354515946,0.4545792276257364,2.39,0
EPL,0.2485591336979513,0.2776549259645833,3.51,1
EPL,0.2983665672539592,0.2677658464096803,3.14,0
EPL,0.9036611312914626,0.8647066648929095,1.11,1
EPL,0.0612285943787504,0.0977118531328987,11.28,0
EPL,0.0315525279391621,0.0375814819741918,26.2,0
EPL,0.5476724634697174,0.5496723532502005,1.75,1
EPL,0.2176862854698029,0.2756103630381286,3.55,0
EPL,0.2346337396270267,0.1747172837116708,5.8,0
EPL,0.1451262473973198,0.1717837747113759,5.32,0
EPL,0.1735713746643897,0.2200376440123242,4.41,1
EPL,0.6812463006402545,0.6081785812762998,1.64,0
EPL,0.171872237355596,0.3320008780341278,3.25,0
EPL,0.2271133531565298,0.3169587670552353,3.15,0
EPL,0.6010111904962199,0.3510403549106369,2.52,1
EPL,0.3263030769438583,0.2175970205030434,4.9,0
EPL,0.2946779470799947,0.2750524135572178,3.83,0
EPL,0.3790189296351286,0.5073505659397386,1.79,1
EPL,0.3963330985442442,0.3884645772978667,2.61,1
EPL,0.2281695460583973,0.279694495654464,3.51,0
EPL,0.3754941399132301,0.3318409270476692,2.82,0
EPL,0.5444972400527459,0.7188750789972614,1.26,1
EPL,0.2436484976900649,0.1880134821992837,6.28,0
EPL,0.2118527713656331,0.0931114388034548,12.59,0
EPL,0.6810619170483003,0.465852727966425,2.02,0
EPL,0.1666774116797171,0.2937809996184662,3.63,1
EPL,0.1521607579125584,0.2403662724151087,3.95,0
EPL,0.3303705733572225,0.4166580475479839,2.37,0
EPL,0.3071777143939397,0.3003516600422583,3.29,0
EPL,0.3624516899788295,0.2829902924097578,3.37,1
EPL,0.4362675747188391,0.3894571676320106,2.55,0
EPL,0.2327500925285625,0.2722945656702915,3.52,1
EPL,0.3309798387064009,0.3382482666976977,2.9,0
EPL,0.1107818050855505,0.2220951342925127,4.47,0
EPL,0.1277063820905509,0.266272095609552,3.54,0
EPL,0.7608702604588486,0.5116327700979351,1.93,1
EPL,0.6412865311498068,0.6129991886775443,1.59,0
EPL,0.1942480681361788,0.2436671774993239,4.07,1
EPL,0.1644453396361551,0.1433336338231317,6.64,0
